Company ,Property,Address,Jurisdiction,  Full assessed/taxable value  ,  Taxes owed  ,  Taxes abated  ,% taxes abated
Campanile Plaza,Campanile Plaza,1155 JUNIPER ST NE,Atlanta," $3,952,700 "," $45,819 "," $30,546 ",40%
Harris Tower,Harris Tower,233 PEACHTREE ST NE,Atlanta," $15,800,000 "," $274,725 "," $30,525 ",10%
Mansion on Peachtree,Mansion on Peachtree,3376 PEACHTREE RD NE,Atlanta," $3,157,774 "," $46,127 "," $8,566 ",16%
Hsu's Gourmet Chinese Restaurant,Hsu's Gourmet Chinese Restaurant,192 PEACHTREE CENTER AVE NE,Atlanta," $4,150,000 "," $72,171 "," $8,019 ",10%
Mathes Family Riverside,Mathes Family Riverside,8225 TROON CIR,Six Flags Special Services District," $2,476,640 "," $31,949 "," $7,987 ",20%
Logistics Center/CFA?,Logistics Center/CFA?,3455 NATURALLY FRESH BLVD,College Park," $5,118,575 "," $53,775 "," $5,975 ",10%
Macy's Systems Technology,Macy's Systems Technology,5955 STATE BRIDGE RD,Johns Creek," $908,154 "," $8,982 "," $3,203 ",26%
201 Peachtree St offices,201 Peachtree St offices,201 PEACHTREE ST NE,Atlanta," $1,600,000 "," $27,828 "," $3,092 ",10%
Life Time Athletic,Life Time Athletic,5580 ROSWELL RD,Sandy Springs," $14,569,500 "," $168,000 "," $29,647 ",15%
Adam's Garden of Eatin,Adam's Garden of Eatin,1451 SCOTT BLVD,Unincorporated DeKalb," $410,486 "," $4,420 "," $2,834 ",39%
Commercial,Commercial,5150 N ROYAL ATLANTA DR,Tucker," $2,921,400 "," $24,783 "," $26,847 ",52%
BT OH LLC / Self storage,BT OH LLC / Self storage,4159 PLEASANTDALE RD,Doraville," $1,549,538 "," $26,000 "," $1,786 ",6%
Hampton Inn Atlanta Airport West,Hampton Inn Atlanta Airport West,3450 CREEK POINTE DR,East Point," $8,813,900 "," $147,384 "," $26,009 ",15%
Marriott Courtyard Atlanta Airport West,Marriott Courtyard Atlanta Airport West,3400 CAMP CREEK PKWY,East Point," $8,796,900 "," $147,107 "," $25,960 ",15%
Point on Scott,Point on Scott,2532 N DECATUR RD,Unincorporated DeKalb," $2,271,000 "," $13,406 "," $24,896 ",65%
Commercial/eye doctor on Scott Blvd,Commercial/eye doctor on Scott Blvd,1457 SCOTT BLVD,Unincorporated DeKalb," $3,530,779 "," $38,028 "," $24,372 ",39%
South Tower,South Tower,225 PEACHTREE ST NE,Atlanta," $12,460,300 "," $216,657 "," $24,073 ",10%
North Tower,North Tower,235 PEACHTREE ST NE,Atlanta," $12,300,200 "," $213,867 "," $23,763 ",10%
Keystone Automotive Group,Keystone Automotive Group,600 HARTMAN INDUSTRIAL CT,Six Flags Special Services District," $27,850,920 "," $347,883 "," $17,661 ",5%
The Elle of Buckhead Apartments/Condoss,The Elle of Buckhead Apartments/Condoss,235 PHARR RD NE,Atlanta," $106,133,800 "," $1,102,943 "," $735,295 ",40%
Phipps Tower,Phipps Tower,3438 PEACHTREE RD NE,Atlanta," $135,494,500 "," $1,882,017 "," $627,339 ",25%
Two Alliance Center,Two Alliance Center,3560 LENOX RD NE,Atlanta," $133,368,000 "," $1,852,479 "," $617,493 ",25%
Fiserv,Fiserv,11380 TECHNOLOGY CIR,Johns Creek," $74,663,137 "," $439,995 "," $580,679 ",57%
Walmart.com,Walmart.com,6055 SOUTH FULTON PKWY,Union City," $62,829,730 "," $563,897 "," $563,897 ",50%
SkyHouse Midtown apartments/cpndos,SkyHouse Midtown apartments/cpndos,1080 WEST PEACHTREE ST NW,Atlanta," $79,232,100 "," $823,380 "," $548,920 ",40%
One12 Courtland Apartments/Condoss,One12 Courtland Apartments/Condoss,112 COURTLAND ST NE,Atlanta," $61,517,000 "," $653,679 "," $534,828 ",45%
Post Alexander Apartments/Condoss,Post Alexander Apartments/Condoss,600 PHIPPS BLVD,Atlanta," $61,260,900 "," $530,518 "," $530,518 ",50%
Whole Foods mixed use @ Chamblee,Whole Foods mixed use @ Chamblee,4961 PEACHTREE INDUSTRIAL BLVD,Chamblee," $7,143,000 ",  $ -  ,  $ -  ,0%
Avalon,Avalon,2200 Avalon Blvd,Alpharetta," $338,344,500 "," $2,566,884 "," $2,566,884 ",50%
Town Brookhaven,Town Brookhaven,705 TOWN BLVD S,Brookhaven," $168,022,076 "," $716,934 "," $1,782,931 ",71%
Bank of America Plaza,Bank of America Plaza,600 PEACHTREE ST NE,Atlanta," $226,915,000 "," $2,630,399 "," $1,753,599 ",40%
Cox,Cox,6205 PEACHTREE DUNWOODY RD,Sandy Springs," $282,684,703 "," $2,697,686 "," $1,402,172 ",34%
Turner Broadcasting System,Turner Broadcasting System,1015 TECHWOOD DR NW,Atlanta," $215,421,486 "," $2,561,770 "," $1,228,712 ",32%
Alcon Laboratories,Alcon Laboratories,11460 JOHNS CREEK PKWY,Johns Creek," $198,532,937 "," $1,476,624 "," $1,187,132 ",45%
PWC Price Watershouse Cooper,PWC Price Watershouse Cooper,1075 PEACHTREE ST NE,Atlanta," $242,484,000 "," $3,513,603 "," $1,171,201 ",25%
Coca Cola Co.,Coca Cola Co.,1 COCA COLA PLZ NW,Atlanta," $148,784,059 "," $1,720,515 "," $894,435 ",34%
3630 Peachtree offices,3630 Peachtree offices,3630 PEACHTREE RD NE,Atlanta," $111,927,000 "," $1,554,663 "," $518,221 ",25%
Stonecrest Mall,Stonecrest Mall,2929 TURNER HILL RD,Stonecrest," $116,958,066 "," $1,550,263 "," $516,739 ",25%
State Farm,State Farm,64 PERIMETER CTR E,Dunwoody," $80,798,470 "," $726,258 "," $500,990 ",41%
Primerica,Primerica,2188 DULUTH HWY,Unincorporated Gwinnett," $55,728,300 "," $312,310 "," $468,466 ",60%
SunTrust HQ,SunTrust HQ,3333 PEACHTREE RD NE,Atlanta," $117,520,000 "," $1,741,176 "," $435,294 ",20%
Prelude @ Clairmont apartments,Prelude @ Clairmont apartments,2924 4 CLAIRMONT RD,Brookhaven," $65,184,300 "," $604,179 "," $388,477 ",39%
3344 Tower,3344 Tower,3344 PEACHTREE ST NE,Atlanta," $135,680,000 "," $2,135,863 "," $376,917 ",15%
Terminus office tower,Terminus office tower,3280 PEACHTREE RD NE,Atlanta," $127,801,800 "," $2,011,859 "," $355,034 ",15%
