id,property,jurisdiction,assessed_value,taxes_owed,taxes_abated,pct_original,percent_abated,group,start_year,jur_buckets
29,Avalon,Alpharetta,338344500,2566884,2566884,0.5,50,medium,Atlanta,Alpharetta
53,Comcast,Alpharetta,22463918,114765,202760,0.64,64,medium,Atlanta,Alpharetta
66,HP,Alpharetta,51008374,634589,127389,0.17,17,low,Atlanta,Alpharetta
73,T5 Data Centers,Alpharetta,17516300,146856,97904,0.4,40,medium,Atlanta,Alpharetta
87,E-Trade,Alpharetta,31356776,566978,48242,0.08,8,low,Atlanta,Alpharetta
93,ADP,Alpharetta,19446000,280288,14752,0.05,5,low,Atlanta,Alpharetta
1,Campanile Plaza,Atlanta,3952700,45819,30546,0.4,40,medium,Other,Atlanta
2,Harris Tower,Atlanta,15800000,274725,30525,0.1,10,low,Other,Atlanta
3,Mansion on Peachtree,Atlanta,3157774,46127,8566,0.16,16,low,Other,Atlanta
4,Hsu's Gourmet Chinese Restaurant,Atlanta,4150000,72171,8019,0.1,10,low,Other,Atlanta
8,201 Peachtree St offices,Atlanta,1600000,27828,3092,0.1,10,low,Other,Atlanta
17,South Tower,Atlanta,12460300,216657,24073,0.1,10,low,Other,Atlanta
18,North Tower,Atlanta,12300200,213867,23763,0.1,10,low,Other,Atlanta
20,The Elle of Buckhead Apartments/Condoss,Atlanta,106133800,1102943,735295,0.4,40,medium,Other,Atlanta
21,Phipps Tower,Atlanta,135494500,1882017,627339,0.25,25,low,Other,Atlanta
22,Two Alliance Center,Atlanta,133368000,1852479,617493,0.25,25,low,Atlanta,Atlanta
25,SkyHouse Midtown apartments/cpndos,Atlanta,79232100,823380,548920,0.4,40,medium,Other,Atlanta
26,One12 Courtland Apartments/Condoss,Atlanta,61517000,653679,534828,0.45,45,medium,Other,Atlanta
27,Post Alexander Apartments/Condoss,Atlanta,61260900,530518,530518,0.5,50,medium,Atlanta,Atlanta
31,Bank of America Plaza,Atlanta,226915000,2630399,1753599,0.4,40,medium,Other,Atlanta
33,Turner Broadcasting System,Atlanta,215421486,2561770,1228712,0.32,32,low,Other,Atlanta
35,PWC Price Watershouse Cooper,Atlanta,242484000,3513603,1171201,0.25,25,low,Other,Atlanta
36,Coca Cola Co.,Atlanta,148784059,1720515,894435,0.34,34,medium,Other,Atlanta
37,3630 Peachtree offices,Atlanta,111927000,1554663,518221,0.25,25,low,Other,Atlanta
41,SunTrust HQ,Atlanta,117520000,1741176,435294,0.2,20,low,Other,Atlanta
43,3344 Tower,Atlanta,135680000,2135863,376917,0.15,15,low,Other,Atlanta
44,Terminus office tower,Atlanta,127801800,2011859,355034,0.15,15,low,Other,Atlanta
46,Epic Lindmont Apartments/Condoss,Atlanta,64666200,840018,280006,0.25,25,low,Other,Atlanta
47,Americas Mart Building,Atlanta,73269618,1128168,276862,0.2,20,low,Other,Atlanta
48,Lindbergh-Morosgo Apartments/Condoss,Atlanta,63265600,821820,273940,0.25,25,low,Atlanta,Atlanta
49,Hilton Garden Inn Atlanta Midtown,Atlanta,40467775,508194,273643,0.35,35,medium,Atlanta,Atlanta
50,Midtown offices,Atlanta,32081300,371886,247924,0.4,40,medium,Other,Atlanta
51,Apartments/Condoss,Atlanta,54356900,706098,235366,0.25,25,low,Other,Atlanta
54,One Ninety One Peachtree Tower,Atlanta,200121400,3664619,201701,0.05,5,low,Other,Atlanta
55,10 Side apartments/condos/mixed-use,Atlanta,56822400,787336,196834,0.2,20,low,Atlanta,Atlanta
59,Invesco,Atlanta,49588909,768085,175801,0.19,19,low,Other,Atlanta
62,98 14th St. Tower,Atlanta,171139600,3141099,165321,0.05,5,low,Other,Atlanta
63,Renaissance Atlanta Midtown Hotel,Atlanta,41952000,648412,162103,0.2,20,low,Other,Atlanta
68,55 Allen Plaza,Atlanta,57000000,991107,110123,0.1,10,low,Atlanta,Atlanta
69,St. Regis Atlanta hotel in Buckhead,Atlanta,30258000,419256,104814,0.2,20,low,Atlanta,Atlanta
75,Equifax Information Services,Atlanta,17479665,160121,90880,0.36,36,medium,Other,Atlanta
79,One Georgia Center,Atlanta,35708800,620919,68991,0.1,10,low,Other,Atlanta
83,Marquis One office tower,Atlanta,33060000,574848,63872,0.1,10,low,Other,Atlanta
84,Marquis Two office tower,Atlanta,30030000,522171,58019,0.1,10,low,Other,Atlanta
86,Maschiopack North America,Atlanta,6387931,55319,55320,0.5,50,medium,Other,Atlanta
89,Grand Hyatt in Buckhead,Atlanta,15075700,237320,41880,0.15,15,low,Atlanta,Atlanta
92,Peachtree Center,Atlanta,7900000,137367,15263,0.1,10,low,Other,Atlanta
94,3630 Peachtree offices,Atlanta,2880200,40005,13335,0.25,25,low,Other,Atlanta
96,The Mall at Peachtree Center,Atlanta,6300600,109557,12173,0.1,10,low,Other,Atlanta
103,International Tower,Atlanta,19310000,335763,37307,0.1,10,low,Atlanta,Atlanta
107,SkyHouse South apartments/condos,Atlanta,60000000,571560,467640,0.45,45,medium,Atlanta,Atlanta
109,Peachtree Center Garage,Atlanta,16270000,282897,31433,0.1,10,low,Other,Atlanta
110,Lindbergh Apartments/Condos,Atlanta,40339000,524001,174667,0.25,25,low,Other,Atlanta
111,One Peachtree Pointe,Atlanta,1600000,26271,4636,0.15,15,low,Atlanta,Atlanta
115,172 Courtland St,Atlanta,100000,1746,194,0.1,10,low,Atlanta,Atlanta
116,QTS / Quality Investment/Seyfarth,Atlanta,32163700,529226,27854,0.05,5,low,Atlanta,Atlanta
117,SkyHouse Buckhead Apartments/Condoss,Atlanta,93350900,864430,864430,0.5,50,medium,Atlanta,Atlanta
120,77 12th Apartments/Condos,Atlanta,116166200,1207200,804800,0.4,40,medium,Atlanta,Atlanta
30,Town Brookhaven,Brookhaven,168022076,716934,1782931,0.71,71,high,Other,Other
42,Prelude @ Clairmont apartments,Brookhaven,65184300,604179,388477,0.39,39,medium,Atlanta,Other
81,Vacant lot @ Pavilion at Lake Hearn,Brookhaven,5305000,11594,65697,0.85,85,high,Other,Other
113,Perimeter Summit offices,Brookhaven,35297700,358959,190177,0.35,35,medium,Atlanta,Other
28,Whole Foods mixed use @ Chamblee,Chamblee,7143000, unknown,unknown,0,0,low,Other,Other
6,Logistics Center/CFA?,College Park,5118575,53775,5975,0.1,10,low,Other,Other
102,Naturally Fresh,College Park,3800000,54009,9531,0.15,15,low,Other,Other
64,Quintiles Laboratories,County Cumberland Special District 2,32890091,410468,147345,0.26,26,low,Other,Other
76,Printpack,County Cumberland Special District 2,26075778,371644,90488,0.2,20,low,Other,Other
61,Home Depot USA,Cumberland CID,16484023,221124,167186,0.43,43,medium,Other,Other
12,BT OH LLC / Self storage,Doraville,1549538,26000,1786,0.06,6,low,Other,Other
98,Alsco uniform rental,Doraville,9946903,166896,11466,0.06,6,low,Other,Other
39,State Farm,Dunwoody,80798470,726258,500990,0.41,41,medium,Atlanta,Other
91,Flats at Perimeter Place,Dunwoody,3001400,30585,15756,0.34,34,medium,Other,Other
13,Hampton Inn Atlanta Airport West,East Point,8813900,147384,26009,0.15,15,low,Other,Other
14,Marriott Courtyard Atlanta Airport West,East Point,8796900,147107,25960,0.15,15,low,Other,Other
71,Homewood Suites Atlanta Airport North ATL Hotel,East Point,11100237,1Other9,98271,0.45,45,medium,Atlanta,Other
88,Owens Brockway Glass Container Inc,East Point,13770497,196157,47212,0.19,19,low,Other,Other
57,Clorox Services Co.,Fairburn,36411225,425577,182390,0.3,30,low,Other,Other
78,Electrolux,Fairburn,14000000,163632,70128,0.3,30,low,Atlanta,Other
80,Clairion Partners,Fairburn,11621300,126130,67916,0.35,35,medium,Other,Other
7,Macy's Systems Technology,Johns Creek,908154,8982,3203,0.26,26,low,Other,Other
23,Fiserv,Johns Creek,74663137,439995,580679,0.57,57,medium,Other,Other
34,Alcon Laboratories,Johns Creek,198532937,1476624,1187132,0.45,45,medium,Other,Other
99,Orthopedics Atlanta,Johns Creek,9900000,92983,39850,0.3,30,low,Atlanta,Other
90,Osmotica,Marietta,5488466,66909,17519,0.21,21,low,Other,Other
70,Rock Tenn,Norcross,11006000,68302,102527,0.6,60,medium,Other,Other
104,Suniva,Norcross,14144950,183085,36531,0.17,17,low,Atlanta,Other
9,Life Time Athletic,Sandy Springs,14569500,168000,29647,0.15,15,low,Other,Other
32,Cox,Sandy Springs,282684703,2697686,1402172,0.34,34,medium,Other,Other
60,Newell Rubbermaid,Sandy Springs,76039120,976044,173038,0.15,15,low,Atlanta,Other
74,"The Prado Sandy Springs shopping center-Taco Mac, Marlow's, 5 Seasons Brewing",Sandy Springs,47300000,545405,96248,0.15,15,low,Atlanta,Other
77,Concourse Office Park--King and Queen,Sandy Springs,52026400,710100,78900,0.1,10,low,Atlanta,Other
